date,open,high,low,close,volume
2002-08-30,12.9281,13.0125,12.8625,12.9937,862395.0
2002-09-02,13.0312,13.2,12.8813,12.9094,586117.0
2002-09-03,12.9469,12.9937,12.8531,12.8906,392789.0
2002-09-04,12.8906,12.9375,12.8438,12.8906,1397248.0
2002-09-05,13.125,13.125,12.8625,12.9,945936.0
2002-09-06,12.9375,12.9375,12.8156,12.9187,576432.0
2002-09-09,10.3594,12.7312,10.3594,12.3469,1769691.0
2002-09-11,11.7844,11.9906,11.625,11.8125,686107.0
2002-09-12,11.9062,11.9531,11.7375,11.9344,367227.0
2002-09-13,11.9062,12.0,11.7375,11.8781,195083.0
2002-09-16,14.0625,14.0625,11.625,11.6531,629269.0
2002-09-17,11.85,11.8594,11.4563,11.4937,390709.0
2002-09-18,11.4937,11.625,11.3438,11.5219,404080.0
2002-09-19,11.4469,11.5312,11.25,11.4469,537973.0
2002-09-20,11.25,11.8031,11.25,11.7188,332811.0
2002-09-23,11.8125,11.8125,11.625,11.6625,187019.0
2002-09-24,11.6812,11.6812,11.475,11.6531,158987.0
2002-09-25,11.4375,11.625,11.3625,11.5688,181899.0
2002-09-26,11.6719,11.9531,11.6344,11.8406,259952.0
2002-09-27,12.0,12.0938,11.8125,12.0094,337883.0
2002-09-30,11.9438,11.9719,11.625,11.7094,392768.0
2002-10-01,11.7375,11.9062,11.5312,11.8594,550891.0
2002-10-03,11.9812,11.9906,11.7094,11.9719,472901.0
2002-10-04,11.8125,12.0,11.8031,11.8875,1317253.0
2002-10-07,12.1031,12.5625,11.9812,11.9812,2290688.0
2002-10-08,12.1687,12.1687,11.9062,11.9812,2033472.0
2002-10-09,12.1875,12.1875,11.85,11.8969,867840.0
2002-10-10,11.9719,12.0094,11.8125,11.9906,409941.0
2002-10-11,12.075,12.1219,11.9344,12.0844,933317.0
2002-10-14,12.0,12.1875,11.4375,12.1313,845499.0
2002-10-16,12.0562,12.1875,12.0375,12.1687,1075104.0
2002-10-17,12.15,12.1875,11.9812,12.1781,774160.0
2002-10-18,12.1687,12.225,11.9156,12.0562,1849797.0
2002-10-21,12.0844,12.1781,11.9812,12.1125,444667.0
2002-10-22,12.0938,12.2719,12.0469,12.1969,693867.0
2002-10-23,12.0938,12.6562,12.0938,12.3,1040459.0
2002-10-24,12.3656,12.3656,12.1406,12.1875,1385648.0
2002-10-25,12.1875,12.2812,12.0188,12.1969,635397.0
2002-10-28,12.2531,12.375,12.2437,12.3,396709.0
2002-10-29,12.375,12.5344,12.2625,12.4031,1495163.0
2002-10-30,12.375,12.525,12.3562,12.4031,847291.0
2002-10-31,12.4125,12.5063,12.375,12.4125,287461.0
2002-11-01,12.5156,12.6375,12.3562,12.5625,1213963.0
2002-11-04,12.8344,12.8344,12.4688,12.5437,198203.0
2002-11-05,12.5437,12.5625,12.375,12.4594,355259.0
